,COUNTER_MEMS,INTERPOLATED_MEMS,Q0,Q1,Q2,Q3,ACCX,ACCY,ACCZ,MAGX,MAGY,MAGZ,img,round
168,20,0,0.471382,0.367859,-0.627502,0.498718,0.94787,-0.272494,-0.039067,-32.562843,-7.724221,75.840317,Car race 3,0
169,21,0,0.471303,0.36792,-0.62738,0.498901,0.94787,-0.272494,-0.039067,-32.574234,-7.839952,75.713989,Car race 3,0
170,22,0,0.471334,0.367859,-0.627441,0.49884,0.933219,-0.268099,-0.060066,-32.716797,-7.783695,75.511665,Car race 3,0
171,23,0,0.47116,0.368103,-0.62738,0.498901,0.933219,-0.268099,-0.060066,-32.847271,-7.798126,75.512779,Car race 3,0
172,24,0,0.471146,0.368286,-0.62738,0.498779,0.940056,-0.281773,-0.053229,-32.579624,-8.083149,75.523689,Car race 3,0
173,25,0,0.471196,0.368347,-0.627258,0.49884,0.940056,-0.281773,-0.053229,-32.527828,-8.134017,75.472519,Car race 3,0
174,26,0,0.471294,0.368347,-0.627136,0.498901,0.939568,-0.275424,-0.060554,-32.42754,-8.09022,75.339409,Car race 3,0
175,27,0,0.471198,0.368469,-0.627136,0.498901,0.939568,-0.275424,-0.060554,-32.63131,-8.186412,75.338257,Car race 3,0
176,28,0,0.471263,0.368469,-0.627136,0.49884,0.944451,-0.273959,-0.057136,-32.576359,-8.292661,75.212318,Car race 3,0
177,29,0,0.471425,0.368469,-0.627014,0.49884,0.944451,-0.273959,-0.057136,-32.441853,-8.307055,75.406975,Car race 3,0
178,30,0,0.471731,0.368347,-0.626953,0.498718,0.943963,-0.265169,-0.052741,-32.676231,-8.203714,75.284653,Car race 3,0
179,31,0,0.47149,0.368469,-0.627014,0.498779,0.943963,-0.265169,-0.052741,-32.799416,-8.186675,75.335571,Car race 3,0
180,0,0,0.471986,0.368103,-0.626953,0.498657,0.943963,-0.265169,-0.052741,-32.824192,-8.292873,75.52681,Car race 3,0
181,1,0,0.471953,0.368042,-0.627014,0.498657,0.945916,-0.285191,-0.059578,-32.862595,-7.943894,75.52005,Car race 3,0
182,2,0,0.471855,0.367981,-0.627075,0.498718,0.945916,-0.285191,-0.059578,-32.983704,-7.601221,75.484573,Car race 3,0
183,3,0,0.471872,0.368042,-0.627075,0.498657,0.941521,-0.262239,-0.050299,-33.081799,-7.556989,75.539169,Car race 3,0
184,4,0,0.471855,0.368042,-0.627136,0.498596,0.941521,-0.262239,-0.050299,-32.996258,-7.611161,75.613396,Car race 3,0
185,5,0,0.471793,0.368225,-0.627075,0.498596,0.940544,-0.266634,-0.039556,-32.863636,-7.731707,75.555183,Car race 3,0
186,6,0,0.471793,0.368225,-0.627075,0.498596,0.940544,-0.266634,-0.039556,-32.726212,-7.799349,75.463036,Car race 3,0
187,7,0,0.471777,0.368225,-0.627136,0.498535,0.94494,-0.269076,-0.063973,-32.764896,-7.987473,75.471725,Car race 3,0
188,8,0,0.471631,0.368286,-0.627258,0.498474,0.94494,-0.269076,-0.063973,-32.769566,-8.043186,75.383759,Car race 3,0
189,9,0,0.471712,0.368286,-0.627197,0.498474,0.947381,-0.271518,-0.050787,-32.640015,-8.138314,75.312515,Car race 3,0
190,10,0,0.471793,0.368225,-0.627075,0.498596,0.947381,-0.271518,-0.050787,-32.538414,-8.157035,75.171471,Car race 3,0
191,11,0,0.471774,0.367981,-0.627136,0.498718,0.943963,-0.270052,-0.050299,-32.512783,-8.293865,75.172226,Car race 3,0
